date,bidclose
2019-02-18 11:00:00,110.517
2019-02-18 12:00:00,110.533
2019-02-18 13:00:00,110.585
2019-02-18 14:00:00,110.581
2019-02-18 15:00:00,110.588
2019-02-18 16:00:00,110.58
2019-02-18 17:00:00,110.555
2019-02-18 18:00:00,110.578
2019-02-18 19:00:00,110.576
2019-02-18 20:00:00,110.578
2019-02-18 21:00:00,110.586
2019-02-18 22:00:00,110.605
2019-02-18 23:00:00,110.59
2019-02-19 00:00:00,110.528
2019-02-19 01:00:00,110.51
2019-02-19 02:00:00,110.511
2019-02-19 03:00:00,110.475
2019-02-19 04:00:00,110.649
2019-02-19 05:00:00,110.614
2019-02-19 06:00:00,110.676
2019-02-19 07:00:00,110.653
2019-02-19 08:00:00,110.788
2019-02-19 09:00:00,110.762
2019-02-19 10:00:00,110.807
2019-02-19 11:00:00,110.769
2019-02-19 12:00:00,110.758
2019-02-19 13:00:00,110.651
2019-02-19 14:00:00,110.634
2019-02-19 15:00:00,110.547
2019-02-19 16:00:00,110.671
2019-02-19 17:00:00,110.512
2019-02-19 18:00:00,110.552
2019-02-19 19:00:00,110.655
2019-02-19 20:00:00,110.601
2019-02-19 21:00:00,110.61
2019-02-19 22:00:00,110.577
2019-02-19 23:00:00,110.575
2019-02-20 00:00:00,110.745
2019-02-20 01:00:00,110.854
2019-02-20 02:00:00,110.845
2019-02-20 03:00:00,110.766
2019-02-20 04:00:00,110.803
2019-02-20 05:00:00,110.867
2019-02-20 06:00:00,110.836
2019-02-20 07:00:00,110.886
2019-02-20 08:00:00,110.841
2019-02-20 09:00:00,110.78
2019-02-20 10:00:00,110.774
2019-02-20 11:00:00,110.83
2019-02-20 12:00:00,110.752
2019-02-20 13:00:00,110.791
2019-02-20 14:00:00,110.851
2019-02-20 15:00:00,110.749
2019-02-20 16:00:00,110.69
2019-02-20 17:00:00,110.662
2019-02-20 18:00:00,110.662
2019-02-20 19:00:00,110.819
2019-02-20 20:00:00,110.835
2019-02-20 21:00:00,110.837
2019-02-20 22:00:00,110.795
2019-02-20 23:00:00,110.744
2019-02-21 00:00:00,110.669
2019-02-21 01:00:00,110.699
2019-02-21 02:00:00,110.843
2019-02-21 03:00:00,110.806
2019-02-21 04:00:00,110.785
2019-02-21 05:00:00,110.719
2019-02-21 06:00:00,110.765
2019-02-21 07:00:00,110.756
2019-02-21 08:00:00,110.738
2019-02-21 09:00:00,110.696
2019-02-21 10:00:00,110.73
2019-02-21 11:00:00,110.742
2019-02-21 12:00:00,110.702
2019-02-21 13:00:00,110.635
2019-02-21 14:00:00,110.66
2019-02-21 15:00:00,110.655
2019-02-21 16:00:00,110.711
2019-02-21 17:00:00,110.795
2019-02-21 18:00:00,110.763
2019-02-21 19:00:00,110.658
2019-02-21 20:00:00,110.696
2019-02-21 21:00:00,110.688
2019-02-21 22:00:00,110.656
2019-02-21 23:00:00,110.699
2019-02-22 00:00:00,110.706
2019-02-22 01:00:00,110.699
2019-02-22 02:00:00,110.739
2019-02-22 03:00:00,110.733
2019-02-22 04:00:00,110.775
2019-02-22 05:00:00,110.752
2019-02-22 06:00:00,110.751
2019-02-22 07:00:00,110.736
2019-02-22 08:00:00,110.769
2019-02-22 09:00:00,110.83
