date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_co
2019-04-04 21:00:00,111.649,111.611,111.668,111.597,16518,0.07100000000001216,-0.0379999999999967
2019-04-04 22:00:00,111.611,111.631,111.642,111.589,3222,0.05299999999999727,0.01999999999999602
2019-04-04 23:00:00,111.631,111.648,111.662,111.628,4697,0.034000000000006025,0.016999999999995907
2019-04-05 00:00:00,111.648,111.728,111.795,111.639,16689,0.1560000000000059,0.0799999999999983
2019-04-05 01:00:00,111.728,111.679,111.749,111.659,5556,0.0899999999999892,-0.04899999999999238
2019-04-05 02:00:00,111.679,111.712,111.719,111.666,5323,0.05299999999999727,0.03300000000000125
2019-04-05 03:00:00,111.712,111.695,111.731,111.69,3512,0.04099999999999682,-0.017000000000010118
2019-04-05 04:00:00,111.695,111.693,111.707,111.666,3236,0.04099999999999682,-0.001999999999995339
2019-04-05 05:00:00,111.693,111.678,111.707,111.662,4003,0.044999999999987494,-0.015000000000000568
2019-04-05 06:00:00,111.678,111.662,111.716,111.641,7764,0.07499999999998863,-0.015999999999991132
2019-04-05 07:00:00,111.662,111.664,111.67,111.611,7746,0.0589999999999975,0.001999999999995339
2019-04-05 08:00:00,111.664,111.679,111.716,111.663,4957,0.05299999999999727,0.015000000000000568
2019-04-05 09:00:00,111.679,111.712,111.714,111.674,4737,0.03999999999999204,0.03300000000000125
2019-04-05 10:00:00,111.712,111.718,111.736,111.679,5141,0.05700000000000216,0.006000000000000227
2019-04-05 11:00:00,111.718,111.705,111.735,111.672,4738,0.06300000000000239,-0.01300000000000523
2019-04-05 12:00:00,111.705,111.635,111.818,111.52,22965,0.2980000000000018,-0.06999999999999318
2019-04-05 13:00:00,111.635,111.713,111.742,111.622,15042,0.12000000000000455,0.07799999999998875
2019-04-05 14:00:00,111.713,111.731,111.745,111.635,10602,0.10999999999999943,0.018000000000000682
2019-04-05 15:00:00,111.731,111.703,111.784,111.691,8023,0.09300000000000352,-0.027999999999991587
2019-04-05 16:00:00,111.703,111.727,111.745,111.7,4942,0.045000000000001705,0.02400000000000091
2019-04-05 17:00:00,111.727,111.701,111.743,111.699,4104,0.04399999999999693,-0.02600000000001046
2019-04-05 18:00:00,111.701,111.686,111.712,111.675,4712,0.03700000000000614,-0.014999999999986358
2019-04-05 19:00:00,111.686,111.67,111.708,111.66,5998,0.04800000000000182,-0.016000000000005343
2019-04-05 20:00:00,111.67,111.694,111.711,111.669,2175,0.04200000000000159,0.02400000000000091
2019-04-07 19:00:00,111.694,111.657,111.657,111.657,1,0.0,-0.03700000000000614
2019-04-07 21:00:00,111.657,111.68,111.747,111.635,992,0.11199999999999477,0.023000000000010346
2019-04-07 22:00:00,111.68,111.67,111.696,111.668,10989,0.027999999999991587,-0.010000000000005116
2019-04-07 23:00:00,111.67,111.708,111.725,111.664,8072,0.06099999999999284,0.0379999999999967
2019-04-08 00:00:00,111.708,111.5,111.708,111.395,17512,0.3130000000000024,-0.2079999999999984
2019-04-08 01:00:00,111.5,111.491,111.523,111.463,9832,0.060000000000002274,-0.009000000000000341
2019-04-08 02:00:00,111.491,111.386,111.499,111.34,9233,0.15899999999999181,-0.10500000000000398
2019-04-08 03:00:00,111.386,111.398,111.402,111.338,8036,0.06400000000000716,0.012000000000000455
2019-04-08 04:00:00,111.398,111.391,111.399,111.342,6572,0.05700000000000216,-0.006999999999990791
2019-04-08 05:00:00,111.391,111.417,111.421,111.359,5679,0.06200000000001182,0.02599999999999625
2019-04-08 06:00:00,111.417,111.436,111.453,111.406,7103,0.046999999999997044,0.019000000000005457
2019-04-08 07:00:00,111.436,111.445,111.457,111.419,6455,0.0379999999999967,0.00899999999998613
2019-04-08 08:00:00,111.445,111.454,111.494,111.438,6342,0.055999999999997385,0.009000000000000341
2019-04-08 09:00:00,111.454,111.406,111.466,111.389,5053,0.07699999999999818,-0.04799999999998761
2019-04-08 10:00:00,111.406,111.461,111.466,111.401,5049,0.06499999999999773,0.05499999999999261
2019-04-08 11:00:00,111.461,111.445,111.474,111.419,5088,0.05500000000000682,-0.016000000000005343
2019-04-08 12:00:00,111.445,111.353,111.467,111.353,8286,0.11400000000000432,-0.09199999999999875
2019-04-08 13:00:00,111.353,111.305,111.383,111.276,12282,0.10699999999999932,-0.04799999999998761
2019-04-08 14:00:00,111.305,111.411,111.417,111.304,12382,0.11299999999999955,0.10599999999999454
2019-04-08 15:00:00,111.411,111.468,111.521,111.404,10181,0.11700000000000443,0.05700000000000216
2019-04-08 16:00:00,111.468,111.449,111.479,111.43,5091,0.04899999999999238,-0.019000000000005457
2019-04-08 17:00:00,111.449,111.48,111.501,111.449,5109,0.05200000000000671,0.03100000000000591
2019-04-08 18:00:00,111.48,111.508,111.532,111.466,5400,0.0660000000000025,0.027999999999991587
2019-04-08 19:00:00,111.508,111.479,111.521,111.479,4510,0.04200000000000159,-0.028999999999996362
2019-04-08 20:00:00,111.479,111.456,111.493,111.448,1743,0.045000000000001705,-0.022999999999996135
2019-04-08 21:00:00,111.456,111.483,111.509,111.442,20050,0.06700000000000728,0.027000000000001023
2019-04-08 22:00:00,111.483,111.469,111.503,111.468,2236,0.03499999999999659,-0.014000000000010004
2019-04-08 23:00:00,111.469,111.445,111.477,111.444,2732,0.03300000000000125,-0.02400000000000091
2019-04-09 00:00:00,111.445,111.393,111.573,111.382,10861,0.1909999999999883,-0.0519999999999925
2019-04-09 01:00:00,111.393,111.323,111.399,111.304,8310,0.09499999999999886,-0.07000000000000739
2019-04-09 02:00:00,111.323,111.328,111.339,111.274,5117,0.06499999999999773,0.005000000000009663
2019-04-09 03:00:00,111.328,111.373,111.38,111.326,4305,0.054000000000002046,0.045000000000001705
2019-04-09 04:00:00,111.373,111.35,111.381,111.332,2975,0.049000000000006594,-0.023000000000010346
2019-04-09 05:00:00,111.35,111.326,111.358,111.313,4706,0.045000000000001705,-0.02400000000000091
2019-04-09 06:00:00,111.326,111.338,111.363,111.321,5328,0.04200000000000159,0.012000000000000455
2019-04-09 07:00:00,111.338,111.256,111.353,111.23,8025,0.12299999999999045,-0.08199999999999363
2019-04-09 08:00:00,111.256,111.325,111.356,111.24,9470,0.11599999999999966,0.06900000000000261
2019-04-09 09:00:00,111.325,111.262,111.325,111.232,6734,0.09300000000000352,-0.06300000000000239
2019-04-09 10:00:00,111.262,111.281,111.302,111.258,3970,0.04400000000001114,0.019000000000005457
2019-04-09 11:00:00,111.281,111.345,111.374,111.274,6202,0.09999999999999432,0.06399999999999295
2019-04-09 12:00:00,111.345,111.075,111.351,111.073,14360,0.2780000000000058,-0.269999999999996
2019-04-09 13:00:00,111.075,111.088,111.097,110.974,18337,0.12299999999999045,0.012999999999991019
2019-04-09 14:00:00,111.088,111.115,111.148,111.056,10963,0.09199999999999875,0.027000000000001023
2019-04-09 15:00:00,111.115,111.081,111.15,111.079,8116,0.07100000000001216,-0.033999999999991815
